,fileName,text,status
0,dsgdb9nsd_000001.txt,"Atom number 1 is C. Atom number 2 is H. It is bonded to atom number 1 and the internuclear distance between them is 1.09195. Atom number 3 is H. It is bonded to atom number 1 and the internuclear distance between them is 1.09195. The bond angle between atom numbers 3, 2 and 1 is 109.46841. Atom number 4 is H. It is bonded to atom number 1 and the internuclear distance between them is 1.09195. The bond angle between 4, 2 and 1 is 109.47132. The dihederal angle between 4, 3, 2 and 1 is 119.99972. Atom number 5 is H. It is bonded to atom number 2 and the internuclear distance between them is 1.78316. The bond angle between 5, 3 and 2 is 60.00038. The dihederal angle between 5, 4, 3 and 2 is -70.52807. ",True
1,dsgdb9nsd_000002.txt,"Atom number 1 is N. Atom number 2 is H. It is bonded to atom number 1 and the internuclear distance between them is 1.01719. Atom number 3 is H. It is bonded to atom number 1 and the internuclear distance between them is 1.01719. The bond angle between atom numbers 3, 2 and 1 is 105.42135. Atom number 4 is H. It is bonded to atom number 1 and the internuclear distance between them is 1.01721. The bond angle between 4, 2 and 1 is 105.43722. The dihederal angle between 4, 3, 2 and 1 is 111.26171. ",True
2,dsgdb9nsd_000003.txt,"Atom number 1 is O. Atom number 2 is H. It is bonded to atom number 1 and the internuclear distance between them is 0.96211. Atom number 3 is H. It is bonded to atom number 1 and the internuclear distance between them is 0.96211. The bond angle between atom numbers 3, 2 and 1 is 103.71576. ",True
3,dsgdb9nsd_000004.txt,"Atom number 1 is C. Atom number 2 is C. It is bonded to atom number 1 and the internuclear distance between them is 1.19908. Atom number 3 is H. It is bonded to atom number 1 and the internuclear distance between them is 2.26118. The bond angle between atom numbers 3, 2 and 1 is 0.00000. Atom number 4 is H. It is bonded to atom number 1 and the internuclear distance between them is 1.06210. The bond angle between 4, 2 and 1 is 180.00000. The dihederal angle between 4, 3, 2 and 1 is nan. ",False
4,dsgdb9nsd_000005.txt,"Atom number 1 is C. Atom number 2 is N. It is bonded to atom number 1 and the internuclear distance between them is 1.15175. Atom number 3 is H. It is bonded to atom number 1 and the internuclear distance between them is 1.06660. The bond angle between atom numbers 3, 2 and 1 is 180.00000. ",True
5,dsgdb9nsd_000006.txt,"Atom number 1 is C. Atom number 2 is O. It is bonded to atom number 1 and the internuclear distance between them is 1.20000. Atom number 3 is H. It is bonded to atom number 1 and the internuclear distance between them is 1.11094. The bond angle between atom numbers 3, 2 and 1 is 122.48168. Atom number 4 is H. It is bonded to atom number 1 and the internuclear distance between them is 1.11094. The bond angle between 4, 2 and 1 is 122.48244. The dihederal angle between 4, 3, 2 and 1 is -179.99544. ",True
6,dsgdb9nsd_000007.txt,"Atom number 1 is C. Atom number 2 is C. It is bonded to atom number 1 and the internuclear distance between them is 1.52963. Atom number 3 is H. It is bonded to atom number 1 and the internuclear distance between them is 1.09495. The bond angle between atom numbers 3, 2 and 1 is 111.44296. Atom number 4 is H. It is bonded to atom number 1 and the internuclear distance between them is 1.09496. The bond angle between 4, 2 and 1 is 111.44232. The dihederal angle between 4, 3, 2 and 1 is 119.99653. Atom number 5 is H. It is bonded to atom number 2 and the internuclear distance between them is 2.18254. The bond angle between 5, 3 and 2 is 47.70838. The dihederal angle between 5, 4, 3 and 2 is -66.28165. Atom number 6 is H. It is bonded to atom number 3 and the internuclear distance between them is 2.54334. The bond angle between 6, 4 and 3 is 90.00009. The dihederal angle between 6, 5, 4 and 3 is 66.37806. Atom number 7 is H. It is bonded to atom number 4 and the internuclear distance between them is 2.54335. The bond angle between 7, 5 and 4 is 69.69426. The dihederal angle between 7, 6, 5 and 4 is 35.95851. Atom number 8 is H. It is bonded to atom number 5 and the internuclear distance between them is 3.09598. The bond angle between 8, 6 and 5 is 34.76245. The dihederal angle between 8, 7, 6 and 5 is -57.78332. ",True
7,dsgdb9nsd_000008.txt,"Atom number 1 is C. Atom number 2 is O. It is bonded to atom number 1 and the internuclear distance between them is 1.41575. Atom number 3 is H. It is bonded to atom number 1 and the internuclear distance between them is 1.10034. The bond angle between atom numbers 3, 2 and 1 is 112.70001. Atom number 4 is H. It is bonded to atom number 1 and the internuclear distance between them is 1.10033. The bond angle between 4, 2 and 1 is 112.70090. The dihederal angle between 4, 3, 2 and 1 is 122.96998. Atom number 5 is H. It is bonded to atom number 2 and the internuclear distance between them is 2.02533. The bond angle between 5, 3 and 2 is 50.89444. The dihederal angle between 5, 4, 3 and 2 is -67.60589. Atom number 6 is H. It is bonded to atom number 3 and the internuclear distance between them is 2.35345. The bond angle between 6, 4 and 3 is 67.70143. The dihederal angle between 6, 5, 4 and 3 is 97.44294. ",True
8,dsgdb9nsd_000009.txt,"Atom number 1 is C. Atom number 2 is C. It is bonded to atom number 1 and the internuclear distance between them is 1.45501. Atom number 3 is C. It is bonded to atom number 1 and the internuclear distance between them is 2.65645. The bond angle between atom numbers 3, 2 and 1 is 0.00526. Atom number 4 is H. It is bonded to atom number 1 and the internuclear distance between them is 1.09526. The bond angle between 4, 2 and 1 is 111.19091. The dihederal angle between 4, 3, 2 and 1 is 140.61515. Atom number 5 is H. It is bonded to atom number 2 and the internuclear distance between them is 2.11395. The bond angle between 5, 3 and 2 is 151.11515. The dihederal angle between 5, 4, 3 and 2 is 120.03278. Atom number 6 is H. It is bonded to atom number 3 and the internuclear distance between them is 3.21852. The bond angle between 6, 4 and 3 is 31.89732. The dihederal angle between 6, 5, 4 and 3 is -62.66859. Atom number 7 is H. It is bonded to atom number 4 and the internuclear distance between them is 4.23885. The bond angle between 7, 5 and 4 is 77.95070. The dihederal angle between 7, 6, 5 and 4 is 82.91330. ",True
9,dsgdb9nsd_000010.txt,"Atom number 1 is C. Atom number 2 is C. It is bonded to atom number 1 and the internuclear distance between them is 1.45693. Atom number 3 is N. It is bonded to atom number 1 and the internuclear distance between them is 2.61194. The bond angle between atom numbers 3, 2 and 1 is 0.00807. Atom number 4 is H. It is bonded to atom number 1 and the internuclear distance between them is 1.09332. The bond angle between 4, 2 and 1 is 110.33569. The dihederal angle between 4, 3, 2 and 1 is 14.91575. Atom number 5 is H. It is bonded to atom number 2 and the internuclear distance between them is 2.10353. The bond angle between 5, 3 and 2 is 150.84466. The dihederal angle between 5, 4, 3 and 2 is 119.98116. Atom number 6 is H. It is bonded to atom number 3 and the internuclear distance between them is 3.16256. The bond angle between 6, 4 and 3 is 32.60891. The dihederal angle between 6, 5, 4 and 3 is -62.79276. ",True
